


id,value
Homeless,
Homeless.A,
Homeless.A.Domestic and family violence,2400
Homeless.B,
Homeless.B.Financial difficulties,2000
Homeless.C,
Homeless.C.Housing crisis,1600
Homeless.D,
Homeless.D.Inappropriate dwellings,1100
Homeless.E,
Homeless.E.Other relationship issues,800
Homeless.F,
Homeless.F.Other accommodation issues,500
Homeless.G,
Homeless.G.Health issues,400
Homeless.H,
Homeless.H.Custody transition,200
Homeless.I,
Homeless.I.Itinerant,100
Homeless.J
Homeless.J.Lack support,100
Homeless.K
Homeless.K.Other,800



